Event_ID,Event_DateTime,Attack_Type_ID,Source_IP_ID,Country_ID,Severity_ID,System_ID,Packets,Bytes_Transferred,Detection_Time_Min,Response_Time_Min,Status
E000024,2024-12-06,AT01,IP0186,C05,S3,SYS01,15523,3553402,1,19,Resolved
E000025,2024-02-16,AT03,IP0144,C02,S4,SYS02,49645,5798238,6,20,Mitigated
E000026,2023-09-04,AT02,IP0174,C06,S4,SYS07,43191,9879110,9,35,Mitigated
E000027,2024-12-14,AT01,IP0257,C01,S3,SYS01,18470,965144,14,39,Mitigated
E000028,2024-06-26,AT01,IP0243,C08,S2,SYS02,18546,9468140,4,34,Escalated
E000029,2024-05-31,AT07,IP0164,C03,S1,SYS04,13080,5968590,5,55,Escalated
E000030,2024-05-30,AT05,IP0173,C08,S2,SYS06,11630,9399514,5,40,Escalated
E000031,2024-03-17,AT01,IP0189,C06,S4,SYS06,19859,514399,6,32,Mitigated
E000032,2023-02-05,AT09,IP0014,C08,S3,SYS03,36887,4549113,7,17,Escalated
E000033,2023-05-04,AT06,IP0296,C04,S4,SYS06,20021,8937389,5,18,Mitigated
E000034,2023-11-12,AT03,IP0195,C03,S2,SYS07,6245,1247417,12,58,Escalated
E000035,2024-03-15,AT01,IP0057,C04,S3,SYS01,34714,2175414,5,54,Resolved
E000036,2023-09-08,AT01,IP0105,C07,S2,SYS05,25446,7983060,5,51,Escalated
E000037,2024-11-03,AT08,IP0032,C03,S4,SYS05,21569,5601188,3,39,Mitigated
E000038,2024-03-31,AT03,IP0245,C07,S5,SYS03,38529,7780223,1,37,Mitigated
E000039,2024-09-07,AT02,IP0280,C06,S3,SYS06,21065,1533043,4,28,Escalated
E000040,2023-10-05,AT04,IP0136,C08,S4,SYS02,43969,348924,2,7,Mitigated
E000041,2023-09-27,AT01,IP0153,C05,S2,SYS06,45167,1463307,13,36,Mitigated
E000042,2023-08-02,AT04,IP0246,C06,S3,SYS05,31997,6598391,7,61,Escalated
E000043,2023-10-17,AT01,IP0279,C07,S1,SYS04,39948,6313415,4,62,Resolved
E000044,2024-11-24,AT09,IP0149,C01,S4,SYS03,33460,5015782,2,22,Escalated
E000045,2024-05-16,AT01,IP0132,C08,S5,SYS02,20531,9881536,11,29,Mitigated
E000046,2023-07-08,AT06,IP0288,C05,S2,SYS02,25243,1151636,1,49,Mitigated
E000047,2024-05-14,AT04,IP0125,C01,S3,SYS06,25719,8013436,4,15,Escalated
E000048,2024-10-21,AT01,IP0052,C07,S2,SYS03,27597,9473551,8,34,Escalated
E000049,2024-04-15,AT02,IP0071,C01,S3,SYS05,29278,115141,8,52,Mitigated
E000050,2024-09-21,AT02,IP0244,C08,S5,SYS06,32452,3661669,10,30,Mitigated
E000051,2023-12-12,AT05,IP0147,C01,S2,SYS07,14524,2437099,8,45,Mitigated
E000052,2023-05-11,AT04,IP0020,C03,S2,SYS04,49197,9372702,8,39,Mitigated
E000053,2023-06-19,AT08,IP0204,C08,S1,SYS02,42823,9521172,13,56,Escalated
E000054,2023-08-30,AT09,IP0020,C01,S5,SYS03,47800,3277640,8,42,Escalated
E000055,2023-02-08,AT04,IP0172,C05,S5,SYS04,37161,5387267,4,21,Escalated
E000056,2023-08-12,AT03,IP0069,C08,S3,SYS03,48713,5123331,14,43,Mitigated
E000057,2024-12-29,AT06,IP0235,C05,S2,SYS06,38298,1385801,2,11,Mitigated
E000058,2024-09-30,AT01,IP0152,C04,S2,SYS02,26140,9312964,2,38,Escalated
E000059,2024-08-30,AT07,IP0219,C06,S4,SYS01,14228,7199574,1,27,Resolved
E000060,2024-03-15,AT04,IP0072,C08,S2,SYS03,49971,9134660,1,14,Mitigated
E000061,2024-10-14,AT01,IP0229,C05,S2,SYS03,26224,4836605,3,35,Resolved
E000062,2024-03-27,AT03,IP0134,C06,S3,SYS06,9839,4557005,7,37,Mitigated
E000063,2023-12-12,AT01,IP0158,C03,S1,SYS04,38607,2862108,11,29,Escalated
E000064,2024-02-12,AT03,IP0160,C02,S4,SYS06,15129,6588574,13,40,Resolved
E000065,2023-01-01,AT02,IP0069,C08,S2,SYS02,17974,3443473,13,29,Resolved
E000066,2024-09-16,AT05,IP0213,C08,S3,SYS07,32897,6465898,5,48,Escalated
E000067,2024-06-12,AT06,IP0127,C02,S4,SYS05,7654,6949502,11,62,Resolved
E000068,2024-11-12,AT03,IP0289,C02,S2,SYS01,39928,6576137,13,31,Escalated
E000069,2023-06-21,AT08,IP0275,C03,S2,SYS02,15336,7999151,9,46,Resolved
E000070,2024-08-16,AT07,IP0106,C08,S3,SYS01,30816,3916707,12,54,Escalated
E000071,2024-01-08,AT02,IP0068,C07,S1,SYS04,16741,108798,8,16,Escalated
E000072,2023-05-08,AT01,IP0158,C01,S3,SYS04,37747,8208262,8,44,Resolved
E000073,2023-05-29,AT06,IP0297,C02,S4,SYS01,26182,7693832,4,17,Resolved
E000074,2023-05-10,AT01,IP0031,C02,S1,SYS04,20008,3857654,8,26,Mitigated
E000075,2024-02-14,AT01,IP0070,C07,S2,SYS03,13120,8159777,5,64,Resolved
E000076,2024-07-09,AT02,IP0194,C07,S5,SYS01,27099,1289297,13,21,Escalated
E000077,2024-04-18,AT09,IP0069,C06,S4,SYS01,46037,5616829,3,55,Mitigated
E000078,2024-01-16,AT10,IP0066,C04,S2,SYS07,48147,8857529,13,25,Mitigated
E000079,2023-11-07,AT05,IP0238,C07,S5,SYS05,15679,5980077,2,8,Resolved
E000080,2023-11-12,AT06,IP0178,C03,S2,SYS03,33287,7714567,6,52,Mitigated
E000081,2023-09-23,AT08,IP0058,C01,S4,SYS07,39364,4638847,14,49,Escalated
E000082,2023-11-13,AT02,IP0009,C04,S4,SYS02,32794,4861515,12,65,Mitigated
E000083,2024-10-31,AT01,IP0025,C04,S1,SYS06,25282,8404932,9,44,Mitigated
E000084,2024-11-08,AT02,IP0112,C01,S2,SYS02,10624,5471045,9,29,Escalated
E000085,2024-02-28,AT10,IP0295,C06,S2,SYS05,38529,625957,11,64,Escalated
E000086,2023-10-10,AT05,IP0122,C05,S4,SYS02,49859,3790339,9,36,Escalated
E000087,2024-10-01,AT03,IP0141,C01,S3,SYS05,11021,401951,7,45,Escalated
E000088,2023-11-14,AT07,IP0219,C08,S5,SYS01,41903,1786279,2,58,Resolved
E000089,2023-06-27,AT08,IP0269,C06,S3,SYS06,12904,3834049,13,25,Resolved
E000090,2023-10-15,AT02,IP0095,C08,S2,SYS02,29251,5529048,12,31,Mitigated
E000091,2024-02-26,AT01,IP0238,C01,S4,SYS05,8093,6678518,3,53,Resolved
E000092,2024-03-30,AT09,IP0069,C07,S3,SYS02,14394,1273077,8,57,Resolved
E000093,2024-12-26,AT01,IP0231,C06,S3,SYS01,33172,9519257,5,40,Escalated
E000094,2023-11-22,AT05,IP0138,C07,S2,SYS06,41303,651741,4,41,Escalated
E000095,2024-02-18,AT04,IP0097,C04,S4,SYS04,7913,256837,13,40,Mitigated
E000096,2023-11-16,AT07,IP0008,C04,S2,SYS02,32873,1710921,5,13,Escalated
E000097,2024-07-12,AT01,IP0246,C04,S5,SYS06,34119,4563593,6,15,Escalated
E000098,2023-04-06,AT05,IP0123,C06,S2,SYS07,46723,2794670,7,65,Resolved
E000099,2023-10-11,AT02,IP0184,C05,S3,SYS03,47602,4261460,11,24,Resolved
E000100,2024-12-20,AT03,IP0051,C08,S3,SYS07,48132,8993396,9,38,Resolved
E000101,2024-02-17,AT08,IP0212,C01,S2,SYS05,25133,1577482,9,68,Mitigated
E000102,2024-02-20,AT05,IP0284,C07,S1,SYS03,41572,9722286,7,60,Mitigated
E000103,2024-10-16,AT01,IP0292,C04,S2,SYS04,45861,1225664,1,59,Escalated
E000104,2023-05-27,AT04,IP0132,C08,S3,SYS06,27485,6257703,9,57,Escalated
E000105,2024-02-07,AT05,IP0181,C03,S3,SYS02,26354,8298344,12,61,Escalated
E000106,2024-09-16,AT03,IP0278,C01,S2,SYS05,22993,5231131,9,29,Mitigated
E000107,2024-02-25,AT06,IP0025,C01,S1,SYS04,8679,6879697,14,69,Mitigated
E000108,2024-04-18,AT06,IP0078,C01,S2,SYS02,44842,9471520,5,26,Escalated
E000109,2023-01-14,AT02,IP0248,C08,S1,SYS01,10695,2423964,13,68,Mitigated
E000110,2023-10-06,AT03,IP0009,C05,S3,SYS05,19235,5717492,4,31,Resolved
E000111,2023-10-15,AT01,IP0221,C03,S4,SYS01,36923,9792217,13,34,Mitigated
E000112,2023-10-27,AT03,IP0270,C05,S2,SYS07,6614,3528811,5,59,Resolved
E000113,2024-06-30,AT01,IP0192,C07,S2,SYS04,28246,4946113,13,66,Escalated
E000114,2024-09-06,AT01,IP0154,C02,S3,SYS06,36688,8844250,6,27,Escalated
E000115,2023-10-04,AT05,IP0195,C07,S1,SYS05,43501,7497239,5,32,Resolved
E000116,2023-12-10,AT01,IP0088,C02,S1,SYS04,27072,6521472,14,35,Resolved
E000117,2024-08-06,AT04,IP0049,C01,S2,SYS02,22861,9601370,1,18,Mitigated
E000118,2024-09-04,AT08,IP0291,C08,S3,SYS03,23781,1386793,6,43,Mitigated
E000119,2023-01-29,AT08,IP0144,C01,S3,SYS02,45498,2751222,3,26,Resolved
E000120,2024-02-21,AT01,IP0074,C07,S2,SYS01,38746,8749769,4,28,Resolved
E000121,2024-09-02,AT01,IP0200,C06,S2,SYS04,7243,5475653,11,49,Escalated
E000122,2023-12-22,AT01,IP0041,C06,S5,SYS01,13303,2566993,14,25,Mitigated
E000123,2024-11-28,AT02,IP0175,C07,S4,SYS07,11553,2754965,4,34,Resolved
E000124,2024-07-06,AT01,IP0231,C08,S2,SYS02,49348,5020851,3,16,Resolved
E000125,2024-06-29,AT03,IP0096,C07,S2,SYS01,15033,8623215,10,59,Escalated
E000126,2023-06-13,AT01,IP0038,C02,S2,SYS03,46621,5868076,6,27,Mitigated
E000127,2024-11-05,AT02,IP0079,C07,S4,SYS03,47816,3341695,12,26,Resolved
E000128,2023-10-18,AT01,IP0158,C08,S1,SYS03,21020,6743509,14,26,Resolved
E000129,2024-09-18,AT01,IP0221,C08,S1,SYS05,6885,4871873,10,35,Escalated
E000130,2024-05-11,AT03,IP0046,C06,S1,SYS05,5815,1185110,8,22,Mitigated
E000131,2024-02-10,AT03,IP0198,C01,S4,SYS03,30037,4723527,11,65,Resolved
E000132,2023-12-30,AT02,IP0287,C04,S1,SYS05,13272,1074687,7,26,Escalated
E000133,2024-11-13,AT01,IP0072,C05,S2,SYS03,12741,8493302,6,33,Resolved
E000134,2024-05-15,AT02,IP0223,C05,S1,SYS04,6934,4840148,3,46,Resolved
E000135,2023-05-02,AT02,IP0129,C04,S1,SYS06,11159,9716743,8,40,Escalated
E000136,2023-05-29,AT02,IP0235,C02,S3,SYS02,38932,3016971,7,17,Resolved
E000137,2024-08-13,AT01,IP0195,C06,S2,SYS04,46406,2713456,11,24,Resolved
E000138,2024-11-06,AT02,IP0070,C05,S4,SYS03,11820,6184010,11,44,Escalated
E000139,2023-04-23,AT08,IP0161,C03,S2,SYS04,21191,708919,6,61,Resolved
E000140,2023-03-04,AT01,IP0252,C04,S3,SYS03,37175,6827830,7,45,Resolved
E000141,2023-05-19,AT01,IP0187,C02,S4,SYS05,18142,4804863,1,18,Mitigated
E000142,2023-02-25,AT03,IP0282,C01,S3,SYS06,12394,4540768,13,67,Resolved
E000143,2024-12-08,AT08,IP0150,C02,S2,SYS07,16652,215064,10,59,Resolved
E000144,2023-09-07,AT04,IP0156,C04,S1,SYS03,49036,7309403,13,71,Escalated
E000145,2023-11-01,AT01,IP0194,C02,S3,SYS04,26119,3158321,3,28,Escalated
E000146,2023-08-17,AT02,IP0260,C07,S3,SYS05,8465,6547726,5,63,Mitigated
E000147,2023-05-28,AT06,IP0275,C02,S2,SYS01,43515,3203800,5,34,Mitigated
E000148,2023-04-11,AT04,IP0023,C07,S2,SYS07,36171,8862529,11,38,Resolved
E000149,2023-06-14,AT09,IP0006,C02,S3,SYS03,19434,5772745,8,18,Mitigated
E000150,2024-06-17,AT03,IP0298,C04,S3,SYS04,6999,9683105,7,17,Resolved
E000151,2023-10-22,AT02,IP0257,C03,S4,SYS03,10445,3919128,8,29,Mitigated
E000152,2023-05-09,AT02,IP0044,C02,S2,SYS07,36153,1940220,13,72,Escalated
E000153,2024-04-04,AT01,IP0234,C04,S2,SYS05,24394,7278560,12,55,Resolved
E000154,2024-02-07,AT01,IP0232,C06,S1,SYS01,43973,7043122,11,63,Resolved
E000155,2024-05-06,AT01,IP0012,C06,S4,SYS06,8691,2597838,11,23,Mitigated
E000156,2023-09-09,AT04,IP0125,C03,S2,SYS05,22776,5862726,2,36,Mitigated
E000157,2024-03-18,AT01,IP0237,C04,S3,SYS07,32584,3643244,13,49,Resolved
E000158,2024-03-02,AT04,IP0222,C07,S2,SYS01,10487,7666169,11,25,Escalated
E000159,2024-06-08,AT04,IP0220,C07,S2,SYS01,16280,259876,8,67,Escalated
E000160,2024-09-22,AT01,IP0033,C02,S2,SYS07,13621,9888041,12,39,Escalated
E000161,2024-08-27,AT01,IP0235,C02,S2,SYS03,33768,3611449,14,46,Escalated
E000162,2023-05-23,AT07,IP0161,C07,S3,SYS05,43191,3558332,7,61,Resolved
E000163,2023-10-18,AT03,IP0235,C03,S2,SYS07,43247,9540105,11,33,Escalated
E000164,2024-03-14,AT05,IP0044,C03,S2,SYS03,40185,9980084,5,19,Mitigated
E000165,2024-07-05,AT01,IP0192,C03,S1,SYS05,30474,8267399,8,50,Resolved
E000166,2024-11-26,AT02,IP0197,C07,S1,SYS02,12292,9136545,14,59,Resolved
E000167,2024-04-08,AT04,IP0089,C03,S3,SYS04,28465,4652939,2,45,Resolved
E000168,2023-05-13,AT01,IP0231,C01,S2,SYS07,11931,1084131,2,48,Resolved
E000169,2024-11-08,AT09,IP0100,C07,S3,SYS05,33490,8040312,13,61,Escalated
E000170,2024-03-22,AT04,IP0252,C07,S3,SYS06,47145,5304369,1,42,Resolved
E000171,2024-03-01,AT02,IP0016,C04,S1,SYS03,9301,6005447,14,37,Mitigated
E000172,2023-06-29,AT01,IP0087,C08,S3,SYS05,26545,1471242,1,40,Escalated
E000173,2024-09-05,AT05,IP0262,C02,S3,SYS05,13556,2120148,8,13,Mitigated
E000174,2023-01-11,AT01,IP0188,C01,S3,SYS07,43893,2826427,4,15,Escalated
E000175,2023-08-02,AT02,IP0218,C02,S2,SYS06,23660,2909858,14,61,Escalated
E000176,2023-04-09,AT05,IP0017,C08,S2,SYS03,5306,4644943,5,35,Resolved
E000177,2024-10-29,AT07,IP0061,C04,S1,SYS02,17207,4071586,8,25,Escalated
E000178,2024-01-01,AT03,IP0220,C03,S2,SYS05,14630,2951957,1,14,Mitigated
E000179,2023-07-25,AT06,IP0031,C06,S4,SYS05,38719,9305053,10,31,Resolved
E000180,2024-02-20,AT03,IP0150,C05,S2,SYS05,17812,326884,8,63,Resolved
E000181,2024-03-01,AT09,IP0049,C03,S3,SYS07,18056,7439096,9,26,Resolved
E000182,2024-12-10,AT08,IP0065,C03,S5,SYS02,9030,1238355,4,44,Mitigated
E000183,2024-04-07,AT05,IP0202,C08,S4,SYS02,39168,5604637,10,42,Escalated
E000184,2024-11-05,AT04,IP0193,C08,S3,SYS01,41491,3101519,6,37,Escalated
E000185,2023-03-08,AT06,IP0207,C05,S4,SYS06,25448,1462270,3,53,Resolved
E000186,2023-02-27,AT02,IP0298,C01,S3,SYS07,24853,1001111,7,47,Escalated
E000187,2024-01-13,AT01,IP0184,C02,S5,SYS07,33016,8114324,14,21,Escalated
E000188,2023-07-07,AT02,IP0109,C08,S5,SYS03,12549,4504309,14,68,Resolved
E000189,2023-04-30,AT06,IP0296,C03,S2,SYS05,38717,870569,3,42,Resolved
E000190,2023-03-23,AT06,IP0025,C01,S4,SYS01,19732,215042,9,46,Escalated
E000191,2023-09-21,AT06,IP0064,C03,S3,SYS04,22866,5647631,3,39,Resolved
E000192,2023-02-09,AT01,IP0104,C03,S5,SYS06,34986,2843122,6,34,Resolved
E000193,2024-08-20,AT01,IP0141,C02,S5,SYS06,19690,8265571,6,50,Resolved
E000194,2024-11-23,AT01,IP0085,C01,S2,SYS04,26303,4461909,1,18,Escalated
E000195,2024-04-26,AT01,IP0120,C07,S3,SYS06,40595,5672618,11,34,Mitigated
E000196,2024-12-12,AT05,IP0245,C02,S1,SYS02,5730,3883938,6,22,Escalated
E000197,2023-06-28,AT01,IP0005,C01,S3,SYS06,11299,3843382,3,27,Resolved
E000198,2023-01-07,AT06,IP0217,C03,S5,SYS04,11615,7478343,3,49,Mitigated
E000199,2024-11-26,AT01,IP0053,C02,S1,SYS03,28434,640027,6,30,Resolved
E000200,2023-07-27,AT07,IP0069,C03,S1,SYS01,32883,855724,11,36,Escalated
E000201,2024-01-17,AT03,IP0085,C08,S3,SYS03,44470,3582837,6,45,Escalated
E000202,2023-04-21,AT01,IP0211,C08,S4,SYS07,37926,4031067,12,37,Mitigated
E000203,2023-08-15,AT01,IP0064,C07,S1,SYS03,45724,2581498,13,63,Resolved
E000204,2024-07-13,AT01,IP0142,C02,S1,SYS02,7526,7333646,8,35,Escalated
E000205,2023-11-08,AT04,IP0146,C01,S4,SYS07,11574,136051,12,45,Escalated
E000206,2024-08-10,AT07,IP0261,C04,S2,SYS06,16802,6202744,6,29,Resolved
E000207,2023-04-27,AT01,IP0123,C08,S1,SYS04,18526,4667994,8,50,Mitigated
E000208,2024-12-18,AT01,IP0037,C01,S3,SYS03,30551,7756575,3,17,Resolved
E000209,2023-04-02,AT01,IP0292,C07,S4,SYS03,27191,1312740,3,18,Escalated
E000210,2024-12-11,AT04,IP0038,C01,S4,SYS05,35279,2660390,10,28,Mitigated
E000211,2023-12-27,AT01,IP0031,C07,S2,SYS05,18156,8358103,7,25,Resolved
E000212,2024-01-14,AT04,IP0213,C07,S3,SYS06,7019,705743,9,17,Resolved
E000213,2024-07-26,AT01,IP0079,C05,S3,SYS01,23030,2586179,8,29,Resolved
E000214,2023-03-18,AT01,IP0080,C06,S5,SYS04,8420,7237763,6,26,Escalated
E000215,2024-07-07,AT04,IP0034,C05,S4,SYS06,45253,9501976,6,47,Resolved
E000216,2024-03-11,AT05,IP0030,C04,S4,SYS01,9131,6849645,10,55,Resolved
E000217,2023-05-21,AT01,IP0029,C05,S3,SYS06,28806,9754385,4,52,Escalated
E000218,2024-03-06,AT04,IP0007,C03,S2,SYS06,14470,2332821,13,30,Mitigated
E000219,2023-10-16,AT01,IP0268,C05,S5,SYS02,47725,9115362,9,18,Resolved
E000220,2024-12-19,AT01,IP0138,C02,S4,SYS07,10024,9268288,12,52,Mitigated
E000221,2023-11-26,AT01,IP0269,C02,S3,SYS03,16226,5509351,5,36,Escalated
E000222,2024-01-04,AT09,IP0255,C08,S3,SYS05,49415,5869537,8,49,Resolved
E000223,2023-09-23,AT01,IP0086,C06,S4,SYS02,5528,9572293,12,38,Resolved
E000224,2024-03-30,AT05,IP0060,C04,S4,SYS06,20256,8034761,11,16,Escalated
E000225,2024-12-27,AT01,IP0007,C04,S4,SYS01,13884,3667850,4,32,Resolved
E000226,2023-03-17,AT02,IP0092,C01,S5,SYS05,42895,515162,8,29,Escalated
E000227,2023-09-14,AT05,IP0165,C04,S3,SYS04,27161,8099317,13,44,Escalated
E000228,2024-08-27,AT01,IP0293,C06,S4,SYS01,27402,584469,2,11,Escalated
E000229,2024-12-23,AT04,IP0115,C01,S1,SYS04,14797,4366246,1,21,Mitigated
E000230,2024-10-04,AT07,IP0160,C06,S4,SYS01,18733,4740743,2,20,Escalated
E000231,2024-07-15,AT02,IP0150,C05,S2,SYS06,47842,7111612,1,48,Escalated
E000232,2023-07-06,AT01,IP0253,C04,S2,SYS06,26380,1764069,9,50,Escalated
E000233,2023-04-23,AT05,IP0004,C07,S2,SYS01,11765,544842,2,12,Mitigated
E000234,2023-10-15,AT03,IP0005,C06,S3,SYS01,32066,202903,4,37,Escalated
E000235,2023-06-03,AT02,IP0158,C02,S4,SYS02,39986,4162175,3,33,Escalated
E000236,2024-05-20,AT10,IP0031,C03,S3,SYS06,37911,1712850,1,58,Resolved
E000237,2024-01-18,AT01,IP0267,C07,S5,SYS06,5615,6202910,11,41,Resolved
E000238,2024-01-01,AT02,IP0298,C02,S4,SYS05,43745,602939,7,12,Mitigated
E000239,2023-01-01,AT04,IP0291,C01,S2,SYS04,32579,2883993,5,18,Escalated
E000240,2024-06-20,AT09,IP0134,C06,S2,SYS07,14114,926278,1,47,Resolved
E000241,2024-06-30,AT05,IP0163,C08,S4,SYS03,37596,5502066,3,32,Mitigated
E000242,2024-02-03,AT01,IP0300,C02,S2,SYS02,40725,9936447,2,53,Mitigated
E000243,2024-03-18,AT01,IP0209,C02,S3,SYS05,21347,1677127,10,46,Resolved
E000244,2024-09-03,AT09,IP0158,C08,S2,SYS03,35823,2851691,10,61,Mitigated
E000245,2024-06-14,AT01,IP0156,C01,S4,SYS02,45843,127690,8,27,Resolved
E000246,2024-01-05,AT01,IP0183,C07,S4,SYS05,7010,5743473,3,53,Mitigated
E000247,2023-01-26,AT04,IP0090,C01,S2,SYS04,5048,9002280,13,53,Resolved
E000248,2023-08-26,AT03,IP0049,C08,S3,SYS01,37576,5940582,7,50,Mitigated
E000249,2023-07-10,AT01,IP0114,C03,S1,SYS02,29070,1203183,10,21,Resolved
E000250,2023-10-02,AT02,IP0044,C05,S3,SYS07,23161,9845350,3,52,Mitigated
E000251,2023-08-21,AT01,IP0228,C03,S1,SYS01,31365,4156926,5,62,Resolved
E000252,2023-11-11,AT01,IP0026,C03,S5,SYS05,44159,5296134,7,38,Resolved
E000253,2024-05-22,AT06,IP0016,C07,S2,SYS06,22333,660643,9,40,Resolved
E000254,2023-10-01,AT01,IP0096,C05,S2,SYS03,13367,5278066,8,35,Resolved
E000255,2024-10-20,AT07,IP0126,C05,S1,SYS04,42634,5680699,10,17,Resolved
E000256,2024-05-08,AT07,IP0045,C05,S3,SYS04,25617,3863632,1,36,Mitigated
E000257,2023-03-13,AT02,IP0270,C04,S3,SYS06,22533,1050128,6,40,Escalated
E000258,2023-03-15,AT06,IP0184,C08,S5,SYS05,32956,2648965,5,45,Resolved
E000259,2024-06-19,AT01,IP0165,C07,S3,SYS03,38077,8092339,12,41,Mitigated
E000260,2023-07-02,AT01,IP0016,C05,S3,SYS01,47460,3399596,1,54,Resolved
E000261,2024-02-28,AT03,IP0120,C03,S4,SYS01,5015,4081917,3,9,Mitigated
E000262,2023-02-06,AT04,IP0029,C04,S2,SYS05,26292,1533414,6,16,Resolved
E000263,2024-06-19,AT02,IP0089,C03,S4,SYS02,19817,4254238,5,16,Escalated
E000264,2024-07-06,AT01,IP0184,C01,S4,SYS06,25504,1169626,1,18,Escalated
E000265,2023-11-22,AT02,IP0073,C04,S3,SYS07,32631,4045747,5,37,Resolved
E000266,2024-10-11,AT03,IP0020,C02,S2,SYS01,11840,6888042,2,11,Mitigated
E000267,2023-11-14,AT04,IP0245,C01,S1,SYS03,40183,8097781,6,27,Escalated
E000268,2023-12-18,AT01,IP0091,C06,S1,SYS01,5763,3990549,5,29,Mitigated
E000269,2023-03-28,AT01,IP0073,C02,S4,SYS07,44023,4370358,6,58,Escalated
E000270,2024-02-11,AT07,IP0192,C07,S5,SYS05,48020,6977486,14,38,Mitigated
E000271,2023-02-14,AT01,IP0081,C07,S2,SYS07,33173,9939795,12,57,Escalated
E000272,2023-09-30,AT09,IP0090,C06,S3,SYS02,24207,5446471,9,49,Escalated
E000273,2024-11-03,AT03,IP0158,C05,S2,SYS02,31639,6241018,6,32,Mitigated
E000274,2024-08-29,AT05,IP0294,C07,S5,SYS07,35104,4284094,8,22,Escalated
E000275,2024-12-25,AT01,IP0114,C02,S3,SYS04,8664,8236992,5,36,Mitigated
E000276,2023-11-10,AT01,IP0178,C06,S1,SYS02,12641,752692,2,48,Escalated
E000277,2023-08-12,AT07,IP0172,C08,S1,SYS01,37899,2738681,4,9,Resolved
E000278,2023-02-20,AT01,IP0180,C05,S3,SYS07,13712,3188413,4,57,Mitigated
E000279,2024-10-01,AT05,IP0225,C07,S1,SYS02,43915,5026788,3,52,Resolved
E000280,2024-07-26,AT02,IP0280,C07,S2,SYS01,22942,1984175,13,62,Resolved
E000281,2023-10-12,AT06,IP0116,C03,S3,SYS04,6607,5190749,6,47,Mitigated
E000282,2024-12-05,AT06,IP0011,C06,S1,SYS03,12274,4310052,1,60,Mitigated
E000283,2024-11-08,AT01,IP0193,C03,S2,SYS06,22472,2192332,7,62,Mitigated
E000284,2023-06-29,AT03,IP0048,C06,S4,SYS05,28490,9380663,10,61,Escalated
E000285,2023-05-29,AT07,IP0221,C03,S4,SYS05,13520,3590978,12,26,Resolved
E000286,2024-02-26,AT01,IP0106,C04,S1,SYS04,8536,8990383,6,33,Escalated
E000287,2023-01-21,AT03,IP0277,C05,S5,SYS06,40326,1940087,5,49,Resolved
E000288,2023-07-17,AT01,IP0202,C08,S1,SYS02,24675,6696349,5,54,Mitigated
E000289,2024-11-07,AT02,IP0151,C08,S3,SYS02,13998,8305697,5,58,Mitigated
E000290,2024-07-06,AT01,IP0150,C02,S2,SYS04,18429,4563588,11,54,Mitigated
E000291,2023-11-07,AT01,IP0251,C05,S2,SYS01,19901,9363855,11,33,Escalated
E000292,2024-03-27,AT03,IP0196,C06,S2,SYS02,8280,3752461,14,30,Resolved
