Log_ID,Event_ID,Protocol,Source_Port,Destination_Port,Connection_Duration_Sec,Traffic_Flag
L000145,E000145,UDP,18484,33967,266,ACK
L000146,E000146,HTTPS,7697,22858,186,ACK
L000147,E000147,TCP,21169,49268,445,ACK
L000148,E000148,TCP,56384,64336,583,SYN
L000149,E000149,UDP,1417,47505,495,SYN
L000150,E000150,UDP,11229,65436,46,ACK
L000151,E000151,HTTP,11615,41053,127,SYN
L000152,E000152,HTTP,50306,9470,210,FIN
L000153,E000153,HTTP,32205,37041,93,ACK
L000154,E000154,TCP,47845,10297,511,ACK
L000155,E000155,TCP,10998,20673,98,SYN
L000156,E000156,TCP,52138,44097,181,ACK
L000157,E000157,HTTPS,39189,36813,149,FIN
L000158,E000158,HTTPS,37518,63969,594,ACK
L000159,E000159,HTTP,51716,40151,266,ACK
L000160,E000160,UDP,28279,51785,44,ACK
L000161,E000161,UDP,55118,11209,316,SYN
L000162,E000162,TCP,56097,42539,489,RST
L000163,E000163,TCP,842,15288,502,SYN
L000164,E000164,HTTPS,6953,51594,365,SYN
L000165,E000165,HTTPS,35546,21500,161,FIN
L000166,E000166,HTTPS,904,33197,532,FIN
L000167,E000167,UDP,62633,44234,61,FIN
L000168,E000168,TCP,62021,23491,96,ACK
L000169,E000169,UDP,42363,56388,532,RST
L000170,E000170,HTTPS,63088,2997,32,RST
L000171,E000171,HTTP,37889,18413,122,SYN
L000172,E000172,HTTPS,7227,24483,73,ACK
L000173,E000173,HTTPS,19398,54599,522,RST
L000174,E000174,UDP,30902,8266,362,SYN
L000175,E000175,TCP,9587,20735,599,RST
L000176,E000176,HTTP,34173,45212,218,FIN
L000177,E000177,UDP,45806,8887,587,RST
L000178,E000178,HTTPS,41223,32148,86,FIN
L000179,E000179,HTTP,64104,61594,198,FIN
L000180,E000180,HTTP,52658,31798,93,FIN
L000181,E000181,HTTPS,44027,57006,518,SYN
L000182,E000182,TCP,30673,64565,100,SYN
L000183,E000183,TCP,15236,24039,203,ACK
L000184,E000184,HTTPS,53416,14619,367,ACK
L000185,E000185,TCP,41013,61194,491,ACK
L000186,E000186,UDP,17433,741,356,SYN
L000187,E000187,HTTP,21026,34955,566,RST
L000188,E000188,HTTPS,16246,53630,122,FIN
L000189,E000189,UDP,35538,30578,67,RST
L000190,E000190,TCP,4233,22488,321,ACK
L000191,E000191,TCP,7387,55337,544,FIN
L000192,E000192,HTTP,39171,46515,127,ACK
L000193,E000193,HTTPS,21335,44021,353,SYN
L000194,E000194,HTTPS,13473,15275,413,RST
L000195,E000195,HTTPS,20039,35980,132,FIN
L000196,E000196,UDP,5799,14307,471,FIN
L000197,E000197,TCP,64980,50123,10,SYN
L000198,E000198,TCP,58385,7692,120,SYN
L000199,E000199,HTTPS,16274,36407,178,ACK
L000200,E000200,HTTP,54922,17805,250,ACK
L000201,E000201,HTTPS,22782,50683,281,FIN
L000202,E000202,TCP,43668,33695,523,SYN
L000203,E000203,HTTPS,32826,42875,348,FIN
L000204,E000204,TCP,64956,29519,125,FIN
L000205,E000205,HTTP,57201,15646,420,SYN
L000206,E000206,UDP,17696,24083,272,ACK
L000207,E000207,TCP,63895,65254,300,FIN
L000208,E000208,TCP,34394,3079,81,SYN
L000209,E000209,TCP,27309,38460,343,RST
L000210,E000210,TCP,39530,35133,231,ACK
L000211,E000211,UDP,5640,26074,491,ACK
L000212,E000212,HTTPS,52398,25238,304,SYN
L000213,E000213,UDP,46394,3177,467,FIN
L000214,E000214,TCP,22090,36977,598,SYN
L000215,E000215,HTTPS,18244,1368,538,SYN
L000216,E000216,TCP,24629,29341,122,SYN
L000217,E000217,TCP,28961,40904,394,FIN
L000218,E000218,TCP,1177,52743,343,ACK
L000219,E000219,TCP,35429,25086,346,ACK
L000220,E000220,HTTPS,18979,37979,288,FIN
L000221,E000221,HTTP,46733,34949,210,ACK
L000222,E000222,TCP,34441,23896,455,RST
L000223,E000223,HTTP,16802,57979,588,ACK
L000224,E000224,HTTP,60225,30312,532,SYN
L000225,E000225,UDP,50414,64937,430,SYN
L000226,E000226,TCP,30753,41158,581,RST
L000227,E000227,UDP,11543,3881,92,RST
L000228,E000228,TCP,41188,53462,233,SYN
L000229,E000229,HTTPS,41143,50909,547,SYN
L000230,E000230,HTTPS,48423,27795,141,ACK
L000231,E000231,UDP,21454,22001,553,SYN
L000232,E000232,TCP,42410,48556,129,ACK
L000233,E000233,HTTPS,30387,27454,110,FIN
L000234,E000234,TCP,35771,1951,470,FIN
L000235,E000235,HTTP,8330,17272,408,RST
L000236,E000236,HTTPS,51347,45888,29,SYN
L000237,E000237,HTTP,57024,43172,152,FIN
L000238,E000238,HTTPS,57802,26974,333,RST
L000239,E000239,TCP,12054,22211,272,FIN
L000240,E000240,HTTP,35741,19767,461,FIN
L000241,E000241,TCP,39019,25641,75,FIN
L000242,E000242,TCP,63610,55401,78,FIN
L000243,E000243,TCP,45417,57589,31,FIN
L000244,E000244,HTTP,61023,42282,317,FIN
L000245,E000245,HTTPS,11158,42563,393,ACK
L000246,E000246,TCP,27610,22915,262,RST
L000247,E000247,UDP,52065,38166,59,RST
L000248,E000248,HTTPS,25603,48715,421,RST
L000249,E000249,HTTP,45998,9964,272,FIN
L000250,E000250,UDP,944,63417,256,SYN
L000251,E000251,HTTP,31530,38635,515,SYN
L000252,E000252,HTTPS,60383,59147,365,SYN
L000253,E000253,TCP,65422,8602,294,FIN
L000254,E000254,TCP,52167,31005,458,ACK
L000255,E000255,HTTPS,14682,21469,53,RST
L000256,E000256,TCP,57324,6765,592,ACK
L000257,E000257,UDP,30135,7868,438,RST
L000258,E000258,UDP,13541,56154,244,FIN
L000259,E000259,UDP,59242,27513,11,SYN
L000260,E000260,HTTPS,65384,41257,468,ACK
L000261,E000261,HTTPS,22519,22025,527,SYN
L000262,E000262,UDP,8354,51987,455,SYN
L000263,E000263,UDP,22005,42990,276,ACK
L000264,E000264,HTTPS,60340,55414,15,SYN
L000265,E000265,UDP,14033,13274,145,SYN
L000266,E000266,TCP,10903,21273,238,SYN
L000267,E000267,HTTP,54415,65392,418,RST
L000268,E000268,HTTP,1138,51193,474,SYN
L000269,E000269,HTTP,14443,15253,125,SYN
L000270,E000270,HTTP,26470,19354,529,ACK
L000271,E000271,HTTP,55734,27198,191,RST
L000272,E000272,HTTP,12689,45006,119,FIN
L000273,E000273,UDP,15601,24838,304,ACK
L000274,E000274,TCP,22605,9857,434,FIN
L000275,E000275,HTTP,62360,34158,488,SYN
L000276,E000276,HTTPS,25185,12740,224,SYN
L000277,E000277,UDP,65211,8708,174,SYN
L000278,E000278,HTTPS,49706,64386,575,SYN
L000279,E000279,HTTPS,224,6288,534,ACK
L000280,E000280,TCP,54534,45946,352,FIN
L000281,E000281,HTTPS,17246,63517,99,ACK
L000282,E000282,HTTP,6601,11711,116,ACK
L000283,E000283,UDP,19049,1017,89,RST
L000284,E000284,TCP,38875,59103,321,FIN
L000285,E000285,HTTP,41274,23986,494,RST
L000286,E000286,HTTPS,60833,38156,395,ACK
L000287,E000287,HTTP,13234,26953,472,SYN
L000288,E000288,TCP,31838,8070,149,SYN
L000289,E000289,UDP,20013,63928,385,RST
L000290,E000290,HTTP,8024,41442,465,FIN
L000291,E000291,HTTPS,22597,64211,186,ACK
L000292,E000292,TCP,3120,61295,143,ACK
L000293,E000293,HTTP,64116,11702,142,ACK
L000294,E000294,HTTPS,6020,26392,404,FIN
L000295,E000295,UDP,64772,14254,207,FIN
L000296,E000296,TCP,53175,39298,472,ACK
L000297,E000297,TCP,4349,4523,334,ACK
L000298,E000298,UDP,28982,49300,18,ACK
L000299,E000299,TCP,27654,53224,492,RST
L000300,E000300,HTTP,8256,3130,129,SYN
L000301,E000301,HTTPS,60324,49791,261,SYN
L000302,E000302,TCP,5118,2649,127,SYN
L000303,E000303,HTTP,25733,2370,59,FIN
L000304,E000304,UDP,42506,60543,57,FIN
L000305,E000305,HTTP,54287,25386,437,RST
L000306,E000306,HTTP,5849,1387,215,FIN
L000307,E000307,UDP,30964,44954,195,ACK
L000308,E000308,HTTPS,50647,46289,552,ACK
L000309,E000309,UDP,48373,39369,18,ACK
L000310,E000310,HTTP,51743,14075,195,FIN
L000311,E000311,HTTP,34675,35658,567,SYN
L000312,E000312,HTTPS,50676,65382,429,RST
L000313,E000313,HTTP,30340,31026,418,FIN
L000314,E000314,HTTP,14001,37492,370,ACK
L000315,E000315,TCP,16817,27787,251,SYN
L000316,E000316,UDP,57268,43023,312,FIN
L000317,E000317,UDP,17004,29745,277,SYN
L000318,E000318,TCP,26641,2252,531,FIN
L000319,E000319,HTTPS,35680,44630,133,ACK
L000320,E000320,UDP,10725,14010,282,FIN
L000321,E000321,HTTP,18267,29779,319,FIN
L000322,E000322,HTTP,51476,43591,414,FIN
L000323,E000323,HTTP,63631,21553,92,FIN
L000324,E000324,UDP,7756,41263,386,RST
L000325,E000325,UDP,40694,48709,105,FIN
L000326,E000326,UDP,24886,47068,66,RST
L000327,E000327,TCP,14399,13322,97,FIN
L000328,E000328,UDP,59233,35086,142,RST
L000329,E000329,HTTPS,51515,18476,416,SYN
L000330,E000330,UDP,13884,48081,370,FIN
L000331,E000331,HTTP,24066,48502,160,FIN
L000332,E000332,TCP,54805,13651,462,ACK
L000333,E000333,TCP,54028,27103,489,RST
L000334,E000334,UDP,3970,61873,481,SYN
L000335,E000335,UDP,55918,40097,228,FIN
L000336,E000336,HTTPS,36674,25915,174,SYN
L000337,E000337,HTTPS,22542,63495,227,SYN
L000338,E000338,TCP,49877,43227,204,ACK
L000339,E000339,TCP,33448,55106,225,FIN
L000340,E000340,TCP,29013,15501,522,FIN
L000341,E000341,HTTP,22284,734,381,SYN
L000342,E000342,HTTPS,33406,7816,364,SYN
L000343,E000343,TCP,17395,27185,146,RST
L000344,E000344,HTTP,25925,50453,426,ACK
L000345,E000345,TCP,30787,61279,412,ACK
L000346,E000346,HTTPS,57399,46910,191,FIN
L000347,E000347,UDP,53629,33141,136,FIN
L000348,E000348,HTTP,57150,23783,429,FIN
L000349,E000349,TCP,46515,55455,284,RST
L000350,E000350,HTTP,13363,42631,45,SYN
L000351,E000351,HTTP,17032,25246,227,ACK
L000352,E000352,HTTP,21086,21275,300,FIN
L000353,E000353,TCP,5869,8219,155,ACK
L000354,E000354,TCP,59495,40460,543,FIN
L000355,E000355,TCP,13420,5190,141,SYN
L000356,E000356,HTTP,57429,39776,260,SYN
L000357,E000357,UDP,1579,65372,589,ACK
L000358,E000358,UDP,9951,46698,50,ACK
L000359,E000359,HTTP,57493,4547,521,RST
L000360,E000360,HTTPS,60024,51306,459,SYN
L000361,E000361,HTTPS,57088,34786,216,ACK
L000362,E000362,UDP,24802,46386,428,RST
L000363,E000363,HTTP,3976,44825,28,SYN
L000364,E000364,HTTPS,31984,14528,345,FIN
L000365,E000365,HTTPS,12162,23963,368,SYN
L000366,E000366,TCP,9268,5967,232,FIN
L000367,E000367,HTTP,60091,12399,63,SYN
L000368,E000368,UDP,22177,14552,268,ACK
L000369,E000369,HTTPS,47786,16957,408,RST
L000370,E000370,UDP,30494,4052,446,RST
L000371,E000371,HTTP,60032,28507,315,FIN
L000372,E000372,TCP,13817,41296,98,FIN
L000373,E000373,UDP,12044,7852,85,FIN
L000374,E000374,HTTP,62441,62630,515,ACK
L000375,E000375,TCP,58329,56445,365,FIN
L000376,E000376,HTTP,64290,14903,176,SYN
L000377,E000377,HTTPS,53134,63530,574,FIN
L000378,E000378,HTTP,20808,72,167,RST
L000379,E000379,HTTP,52347,24097,24,FIN
L000380,E000380,UDP,47682,25697,65,RST
L000381,E000381,UDP,9771,64592,583,FIN
L000382,E000382,UDP,62990,62402,163,RST
L000383,E000383,HTTPS,33144,37932,551,SYN
L000384,E000384,TCP,2060,26228,358,ACK
L000385,E000385,HTTP,18704,62610,329,ACK
L000386,E000386,TCP,20599,11467,226,RST
L000387,E000387,TCP,62184,16704,107,RST
L000388,E000388,UDP,42789,29194,28,RST
L000389,E000389,UDP,32565,59802,276,ACK
L000390,E000390,TCP,2974,57360,367,SYN
L000391,E000391,UDP,42607,40687,310,SYN
L000392,E000392,HTTPS,37383,40243,242,RST
L000393,E000393,HTTPS,48135,36782,534,SYN
L000394,E000394,TCP,61037,17228,530,FIN
L000395,E000395,TCP,61515,22831,35,FIN
L000396,E000396,HTTP,11204,57824,313,RST
L000397,E000397,HTTP,41503,2906,325,SYN
L000398,E000398,HTTP,32750,63447,116,FIN
L000399,E000399,TCP,44576,33589,540,RST
L000400,E000400,HTTPS,53418,37793,367,SYN
L000401,E000401,HTTP,45772,61702,420,ACK
L000402,E000402,UDP,38786,7532,214,RST
L000403,E000403,TCP,41212,4153,417,FIN
L000404,E000404,TCP,20215,45814,499,RST
L000405,E000405,UDP,15077,771,327,RST
L000406,E000406,TCP,19993,6735,331,ACK
L000407,E000407,HTTP,9102,30642,399,RST
L000408,E000408,HTTPS,18249,6735,453,FIN
L000409,E000409,UDP,51047,29157,296,RST
L000410,E000410,HTTPS,50045,63117,461,FIN
L000411,E000411,HTTPS,13518,44838,463,SYN
L000412,E000412,HTTPS,19454,15522,416,SYN
L000413,E000413,TCP,6206,62762,424,FIN
L000414,E000414,HTTP,64938,57619,151,FIN
L000415,E000415,TCP,59366,32408,130,RST
L000416,E000416,HTTPS,19733,32177,570,ACK
L000417,E000417,HTTP,26678,41838,263,FIN
L000418,E000418,UDP,11376,21296,99,SYN
L000419,E000419,TCP,55859,5386,37,ACK
L000420,E000420,UDP,45477,7702,284,SYN
L000421,E000421,HTTP,5037,3508,96,SYN
L000422,E000422,UDP,2998,52882,93,RST
L000423,E000423,HTTP,30652,16941,583,SYN
L000424,E000424,HTTP,45013,31154,592,RST
L000425,E000425,TCP,65165,38557,290,ACK
L000426,E000426,UDP,51053,32830,67,ACK
L000427,E000427,TCP,11345,16898,339,ACK
L000428,E000428,HTTP,56108,51115,499,SYN
L000429,E000429,TCP,49134,32660,54,ACK
L000430,E000430,HTTPS,33928,42209,381,RST
L000431,E000431,HTTP,48009,12673,429,FIN
L000432,E000432,UDP,21651,18010,192,FIN
L000433,E000433,HTTPS,4001,62104,186,RST
L000434,E000434,TCP,41261,20886,309,RST
L000435,E000435,HTTPS,28618,39771,144,SYN
L000436,E000436,HTTPS,50817,45830,188,RST
L000437,E000437,UDP,8640,51380,251,SYN
L000438,E000438,HTTPS,64006,1688,530,RST
L000439,E000439,UDP,13657,54268,319,FIN
L000440,E000440,HTTP,15131,38173,460,FIN
L000441,E000441,TCP,35995,11317,593,SYN
L000442,E000442,UDP,62568,33679,339,RST
L000443,E000443,TCP,62696,9091,580,FIN
L000444,E000444,HTTP,146,61189,167,RST
L000445,E000445,UDP,27538,45385,145,RST
L000446,E000446,HTTP,40517,58793,313,SYN
L000447,E000447,HTTP,52948,63911,478,SYN
L000448,E000448,HTTP,18785,29884,344,SYN
L000449,E000449,HTTP,15384,58719,512,ACK
L000450,E000450,HTTPS,58606,41832,28,RST
L000451,E000451,TCP,58733,35400,142,ACK
L000452,E000452,UDP,765,62803,26,SYN
L000453,E000453,UDP,38953,30991,559,SYN
L000454,E000454,HTTPS,41823,31590,575,ACK
L000455,E000455,HTTP,27671,20602,331,ACK
L000456,E000456,TCP,39971,9682,162,ACK
L000457,E000457,UDP,7946,8394,536,SYN
L000458,E000458,HTTPS,40877,1388,219,FIN
L000459,E000459,UDP,50717,63656,188,ACK
L000460,E000460,UDP,10926,32452,157,ACK
L000461,E000461,HTTP,16996,9076,284,SYN
L000462,E000462,HTTPS,55703,3814,538,ACK
L000463,E000463,TCP,16685,49659,566,FIN
L000464,E000464,UDP,64952,43959,178,ACK
L000465,E000465,UDP,8336,11584,524,FIN
L000466,E000466,HTTPS,49455,56236,414,SYN
L000467,E000467,HTTPS,5333,2995,530,SYN
L000468,E000468,HTTPS,12917,9634,123,ACK
L000469,E000469,UDP,29255,61412,335,ACK
L000470,E000470,TCP,51081,17056,363,FIN
L000471,E000471,HTTP,16886,29288,144,ACK
L000472,E000472,HTTPS,1847,46840,62,FIN
L000473,E000473,HTTPS,52589,17280,270,ACK
L000474,E000474,UDP,43118,22514,473,ACK
L000475,E000475,TCP,14331,32238,269,FIN
L000476,E000476,TCP,34404,13915,458,FIN
L000477,E000477,UDP,9526,48137,61,SYN
L000478,E000478,HTTPS,43191,310,573,ACK
L000479,E000479,TCP,41901,62338,475,RST
L000480,E000480,UDP,62601,28509,400,RST
L000481,E000481,HTTP,62560,33295,374,RST
L000482,E000482,HTTPS,62604,6155,334,RST
L000483,E000483,UDP,14849,15264,350,ACK
L000484,E000484,UDP,32710,50211,48,ACK
L000485,E000485,UDP,35027,47426,308,SYN
L000486,E000486,HTTP,28647,38957,306,RST
L000487,E000487,HTTPS,49962,6885,182,RST
L000488,E000488,TCP,10072,48722,54,RST
L000489,E000489,HTTPS,10161,18361,563,SYN
L000490,E000490,HTTP,10392,10498,278,ACK
L000491,E000491,HTTPS,21497,27983,128,RST
L000492,E000492,UDP,58868,63820,467,ACK
L000493,E000493,TCP,5188,31209,33,SYN
L000494,E000494,TCP,29262,21068,348,FIN
L000495,E000495,HTTPS,29817,30141,311,RST
L000496,E000496,UDP,24161,7352,54,RST
L000497,E000497,HTTPS,46909,19921,314,FIN
L000498,E000498,TCP,51497,46501,512,SYN
L000499,E000499,HTTPS,32014,41169,513,SYN
L000500,E000500,UDP,1209,53110,179,FIN
L000501,E000501,UDP,14379,44224,11,SYN
L000502,E000502,UDP,14723,19854,133,RST
L000503,E000503,TCP,51098,21001,330,SYN
L000504,E000504,UDP,40457,41005,208,SYN
L000505,E000505,UDP,33414,61833,20,ACK
L000506,E000506,HTTP,17680,13507,117,ACK
L000507,E000507,HTTPS,48232,14440,121,ACK
L000508,E000508,HTTP,52186,45525,39,FIN
L000509,E000509,TCP,50558,40419,564,RST
L000510,E000510,HTTP,37057,55578,589,RST
L000511,E000511,UDP,9072,45515,191,ACK
L000512,E000512,HTTPS,34438,2575,156,ACK
L000513,E000513,HTTPS,13826,57313,106,SYN
L000514,E000514,HTTPS,11719,2066,293,RST
L000515,E000515,HTTPS,36837,27200,211,SYN
L000516,E000516,UDP,35595,4187,406,SYN
L000517,E000517,HTTP,35758,25770,501,SYN
L000518,E000518,HTTPS,42555,24912,560,RST
L000519,E000519,HTTP,17882,54111,290,SYN
L000520,E000520,TCP,35783,23027,93,SYN
L000521,E000521,TCP,22502,17237,180,RST
L000522,E000522,UDP,21183,21924,480,ACK
L000523,E000523,TCP,48290,6735,526,SYN
L000524,E000524,HTTPS,8904,22135,525,FIN
L000525,E000525,UDP,56005,14716,26,ACK
L000526,E000526,UDP,42005,47974,496,ACK
L000527,E000527,HTTPS,45324,59416,391,ACK
L000528,E000528,TCP,45059,22554,182,RST
L000529,E000529,UDP,15839,4544,133,FIN
L000530,E000530,UDP,18840,4462,405,RST
L000531,E000531,UDP,35549,10419,437,RST
L000532,E000532,HTTPS,49636,23966,459,ACK
L000533,E000533,HTTPS,28905,30570,122,FIN
L000534,E000534,HTTPS,1761,23123,203,FIN
L000535,E000535,HTTPS,60217,47911,349,RST
L000536,E000536,HTTP,58779,49798,72,RST
L000537,E000537,UDP,17030,45283,556,RST
L000538,E000538,HTTPS,6170,28010,307,RST
L000539,E000539,UDP,40275,8266,588,SYN
L000540,E000540,HTTPS,31496,49295,207,RST
L000541,E000541,TCP,21360,15842,12,SYN
L000542,E000542,TCP,51275,862,33,SYN
L000543,E000543,HTTPS,55702,46085,492,ACK
L000544,E000544,TCP,65031,54828,540,ACK
L000545,E000545,HTTPS,13347,31254,266,SYN
L000546,E000546,HTTPS,44509,48851,58,ACK
L000547,E000547,UDP,12207,20841,67,SYN
L000548,E000548,UDP,15151,40979,163,ACK
L000549,E000549,HTTPS,63773,57309,274,FIN
L000550,E000550,HTTP,17392,43261,368,FIN
L000551,E000551,HTTP,59800,31622,174,RST
L000552,E000552,HTTPS,46485,39322,188,FIN
L000553,E000553,HTTP,52256,28723,480,SYN
L000554,E000554,HTTPS,20454,1575,427,RST
L000555,E000555,HTTPS,29468,37274,277,ACK
L000556,E000556,TCP,44652,50603,394,SYN
L000557,E000557,UDP,30978,28139,554,ACK
L000558,E000558,UDP,29684,24650,97,ACK
L000559,E000559,HTTP,64029,47241,219,SYN
L000560,E000560,HTTPS,33953,56351,515,SYN
L000561,E000561,TCP,11605,32807,88,ACK
L000562,E000562,TCP,61792,10594,425,ACK
L000563,E000563,HTTP,52319,59949,578,SYN
L000564,E000564,HTTP,28484,31362,86,SYN
L000565,E000565,UDP,62938,59229,408,ACK
L000566,E000566,UDP,46510,21295,114,ACK
L000567,E000567,UDP,20789,27498,143,FIN
