Incident_ID,Event_ID,Analyst_ID,Escalation_Level,MTTD_Min,MTTR_Min,Root_Cause,Closed_Flag
INC000034,E000034,A035,Level 2,12,58,Zero Day Exploit,Yes
INC000035,E000035,A049,Level 1,5,54,User Error,No
INC000036,E000036,A001,Level 1,5,51,Zero Day Exploit,Yes
INC000037,E000037,A018,Level 1,3,39,User Error,No
INC000038,E000038,A017,Level 1,1,37,Zero Day Exploit,No
INC000039,E000039,A020,Level 1,4,28,Configuration Weakness,Yes
INC000040,E000040,A027,Level 2,2,7,Configuration Weakness,Yes
INC000041,E000041,A002,Level 2,13,36,Credential Leak,Yes
INC000042,E000042,A005,Level 1,7,61,User Error,Yes
INC000043,E000043,A013,Level 1,4,62,Zero Day Exploit,No
INC000044,E000044,A024,Level 2,2,22,Credential Leak,No
INC000045,E000045,A009,Level 1,11,29,Credential Leak,Yes
INC000046,E000046,A044,Level 3,1,49,Zero Day Exploit,Yes
INC000047,E000047,A039,Level 2,4,15,Credential Leak,No
INC000048,E000048,A009,Level 3,8,34,Configuration Weakness,No
INC000049,E000049,A025,Level 1,8,52,Malware Payload,No
INC000050,E000050,A046,Level 3,10,30,Credential Leak,No
INC000051,E000051,A028,Level 2,8,45,Credential Leak,No
INC000052,E000052,A005,Level 1,8,39,Malware Payload,No
INC000053,E000053,A030,Level 3,13,56,Configuration Weakness,Yes
INC000054,E000054,A014,Level 3,8,42,Malware Payload,Yes
INC000055,E000055,A035,Level 3,4,21,Zero Day Exploit,No
INC000056,E000056,A042,Level 3,14,43,Zero Day Exploit,Yes
INC000057,E000057,A018,Level 3,2,11,Credential Leak,Yes
INC000058,E000058,A003,Level 2,2,38,User Error,Yes
INC000059,E000059,A038,Level 2,1,27,User Error,No
INC000060,E000060,A048,Level 3,1,14,Credential Leak,Yes
INC000061,E000061,A042,Level 3,3,35,Credential Leak,Yes
INC000062,E000062,A018,Level 1,7,37,Malware Payload,Yes
INC000063,E000063,A032,Level 3,11,29,Credential Leak,No
INC000064,E000064,A047,Level 3,13,40,Configuration Weakness,Yes
INC000065,E000065,A041,Level 3,13,29,Configuration Weakness,No
INC000066,E000066,A032,Level 2,5,48,Malware Payload,No
INC000067,E000067,A040,Level 1,11,62,Malware Payload,Yes
INC000068,E000068,A050,Level 3,13,31,User Error,Yes
INC000069,E000069,A043,Level 2,9,46,Zero Day Exploit,Yes
INC000070,E000070,A024,Level 2,12,54,User Error,Yes
INC000071,E000071,A050,Level 1,8,16,Malware Payload,Yes
INC000072,E000072,A029,Level 1,8,44,Malware Payload,No
INC000073,E000073,A017,Level 1,4,17,Credential Leak,Yes
INC000074,E000074,A034,Level 2,8,26,Credential Leak,No
INC000075,E000075,A001,Level 1,5,64,Configuration Weakness,No
INC000076,E000076,A041,Level 1,13,21,User Error,Yes
INC000077,E000077,A030,Level 3,3,55,User Error,Yes
INC000078,E000078,A004,Level 3,13,25,User Error,No
INC000079,E000079,A044,Level 3,2,8,User Error,No
INC000080,E000080,A049,Level 1,6,52,User Error,No
INC000081,E000081,A019,Level 1,14,49,Credential Leak,No
INC000082,E000082,A030,Level 2,12,65,Malware Payload,Yes
INC000083,E000083,A042,Level 3,9,44,Zero Day Exploit,Yes
INC000084,E000084,A049,Level 1,9,29,Configuration Weakness,No
INC000085,E000085,A050,Level 1,11,64,Configuration Weakness,No
INC000086,E000086,A002,Level 3,9,36,User Error,No
INC000087,E000087,A049,Level 1,7,45,Configuration Weakness,Yes
INC000088,E000088,A019,Level 2,2,58,Configuration Weakness,No
INC000089,E000089,A024,Level 3,13,25,Credential Leak,Yes
INC000090,E000090,A018,Level 1,12,31,Configuration Weakness,No
INC000091,E000091,A036,Level 2,3,53,Credential Leak,No
INC000092,E000092,A006,Level 3,8,57,Credential Leak,No
INC000093,E000093,A018,Level 1,5,40,Credential Leak,Yes
INC000094,E000094,A050,Level 2,4,41,User Error,No
INC000095,E000095,A004,Level 3,13,40,User Error,No
INC000096,E000096,A031,Level 1,5,13,Configuration Weakness,Yes
INC000097,E000097,A008,Level 3,6,15,Credential Leak,No
INC000098,E000098,A050,Level 1,7,65,Zero Day Exploit,Yes
INC000099,E000099,A011,Level 2,11,24,Credential Leak,Yes
INC000100,E000100,A045,Level 2,9,38,User Error,Yes
INC000101,E000101,A049,Level 1,9,68,Credential Leak,Yes
INC000102,E000102,A009,Level 2,7,60,Credential Leak,No
INC000103,E000103,A050,Level 3,1,59,Malware Payload,No
INC000104,E000104,A043,Level 2,9,57,Malware Payload,Yes
INC000105,E000105,A049,Level 1,12,61,Configuration Weakness,No
INC000106,E000106,A015,Level 3,9,29,Configuration Weakness,No
INC000107,E000107,A029,Level 3,14,69,Malware Payload,Yes
INC000108,E000108,A017,Level 2,5,26,Malware Payload,Yes
INC000109,E000109,A019,Level 2,13,68,Configuration Weakness,No
INC000110,E000110,A034,Level 1,4,31,Configuration Weakness,Yes
INC000111,E000111,A004,Level 1,13,34,Malware Payload,No
INC000112,E000112,A050,Level 2,5,59,Zero Day Exploit,Yes
INC000113,E000113,A016,Level 1,13,66,User Error,No
INC000114,E000114,A045,Level 2,6,27,User Error,Yes
INC000115,E000115,A033,Level 1,5,32,Zero Day Exploit,No
INC000116,E000116,A024,Level 3,14,35,Configuration Weakness,No
INC000117,E000117,A004,Level 1,1,18,Zero Day Exploit,No
INC000118,E000118,A016,Level 2,6,43,User Error,Yes
INC000119,E000119,A047,Level 1,3,26,User Error,No
INC000120,E000120,A044,Level 2,4,28,User Error,Yes
INC000121,E000121,A045,Level 2,11,49,Zero Day Exploit,No
INC000122,E000122,A009,Level 2,14,25,Configuration Weakness,Yes
INC000123,E000123,A014,Level 1,4,34,Configuration Weakness,No
INC000124,E000124,A017,Level 1,3,16,Configuration Weakness,Yes
INC000125,E000125,A038,Level 1,10,59,Zero Day Exploit,Yes
INC000126,E000126,A025,Level 1,6,27,Credential Leak,Yes
INC000127,E000127,A016,Level 3,12,26,Credential Leak,Yes
INC000128,E000128,A004,Level 1,14,26,User Error,Yes
INC000129,E000129,A012,Level 1,10,35,User Error,No
INC000130,E000130,A011,Level 3,8,22,Credential Leak,No
INC000131,E000131,A042,Level 1,11,65,User Error,Yes
INC000132,E000132,A036,Level 2,7,26,Zero Day Exploit,No
INC000133,E000133,A050,Level 2,6,33,Configuration Weakness,Yes
INC000134,E000134,A027,Level 1,3,46,User Error,No
INC000135,E000135,A018,Level 3,8,40,Zero Day Exploit,No
INC000136,E000136,A045,Level 1,7,17,Malware Payload,No
INC000137,E000137,A022,Level 2,11,24,Zero Day Exploit,No
INC000138,E000138,A049,Level 2,11,44,Malware Payload,Yes
INC000139,E000139,A026,Level 3,6,61,Zero Day Exploit,No
INC000140,E000140,A004,Level 3,7,45,Configuration Weakness,No
INC000141,E000141,A040,Level 3,1,18,User Error,Yes
INC000142,E000142,A012,Level 1,13,67,Zero Day Exploit,Yes
INC000143,E000143,A023,Level 3,10,59,User Error,Yes
INC000144,E000144,A023,Level 3,13,71,Configuration Weakness,Yes
INC000145,E000145,A043,Level 3,3,28,User Error,Yes
INC000146,E000146,A033,Level 3,5,63,Configuration Weakness,No
INC000147,E000147,A002,Level 2,5,34,User Error,Yes
INC000148,E000148,A032,Level 3,11,38,Malware Payload,Yes
INC000149,E000149,A038,Level 3,8,18,Credential Leak,Yes
INC000150,E000150,A024,Level 2,7,17,User Error,Yes
INC000151,E000151,A023,Level 1,8,29,User Error,No
INC000152,E000152,A032,Level 2,13,72,Credential Leak,No
INC000153,E000153,A019,Level 2,12,55,Malware Payload,No
INC000154,E000154,A017,Level 3,11,63,Zero Day Exploit,Yes
INC000155,E000155,A020,Level 2,11,23,User Error,Yes
INC000156,E000156,A004,Level 2,2,36,Configuration Weakness,No
INC000157,E000157,A037,Level 3,13,49,Malware Payload,Yes
INC000158,E000158,A025,Level 2,11,25,Malware Payload,No
INC000159,E000159,A009,Level 3,8,67,Credential Leak,No
INC000160,E000160,A024,Level 1,12,39,Credential Leak,No
INC000161,E000161,A038,Level 1,14,46,Malware Payload,No
INC000162,E000162,A042,Level 2,7,61,Credential Leak,Yes
INC000163,E000163,A038,Level 1,11,33,Zero Day Exploit,Yes
INC000164,E000164,A002,Level 2,5,19,Configuration Weakness,No
INC000165,E000165,A011,Level 2,8,50,User Error,No
INC000166,E000166,A047,Level 1,14,59,Malware Payload,No
INC000167,E000167,A003,Level 1,2,45,Credential Leak,Yes
INC000168,E000168,A037,Level 3,2,48,Zero Day Exploit,Yes
INC000169,E000169,A041,Level 3,13,61,User Error,No
INC000170,E000170,A002,Level 2,1,42,Malware Payload,Yes
INC000171,E000171,A026,Level 1,14,37,User Error,Yes
INC000172,E000172,A046,Level 2,1,40,User Error,Yes
INC000173,E000173,A008,Level 3,8,13,Credential Leak,Yes
INC000174,E000174,A014,Level 1,4,15,User Error,Yes
INC000175,E000175,A042,Level 1,14,61,Malware Payload,No
INC000176,E000176,A016,Level 3,5,35,Malware Payload,No
INC000177,E000177,A018,Level 1,8,25,Credential Leak,No
INC000178,E000178,A010,Level 3,1,14,Zero Day Exploit,No
INC000179,E000179,A006,Level 2,10,31,Malware Payload,No
INC000180,E000180,A037,Level 2,8,63,User Error,No
INC000181,E000181,A020,Level 3,9,26,User Error,No
INC000182,E000182,A030,Level 3,4,44,Malware Payload,Yes
INC000183,E000183,A012,Level 2,10,42,Zero Day Exploit,Yes
INC000184,E000184,A032,Level 3,6,37,User Error,Yes
INC000185,E000185,A029,Level 3,3,53,Configuration Weakness,Yes
INC000186,E000186,A009,Level 1,7,47,User Error,Yes
INC000187,E000187,A011,Level 1,14,21,Malware Payload,Yes
INC000188,E000188,A026,Level 3,14,68,Zero Day Exploit,No
INC000189,E000189,A025,Level 1,3,42,Credential Leak,No
INC000190,E000190,A018,Level 3,9,46,Configuration Weakness,No
INC000191,E000191,A003,Level 2,3,39,Credential Leak,No
INC000192,E000192,A043,Level 2,6,34,Configuration Weakness,Yes
INC000193,E000193,A011,Level 3,6,50,Credential Leak,Yes
INC000194,E000194,A033,Level 1,1,18,Configuration Weakness,Yes
INC000195,E000195,A023,Level 1,11,34,Zero Day Exploit,Yes
INC000196,E000196,A035,Level 3,6,22,Malware Payload,Yes
INC000197,E000197,A003,Level 2,3,27,User Error,No
INC000198,E000198,A038,Level 2,3,49,Zero Day Exploit,Yes
INC000199,E000199,A029,Level 2,6,30,Credential Leak,No
INC000200,E000200,A018,Level 1,11,36,Zero Day Exploit,Yes
INC000201,E000201,A021,Level 3,6,45,User Error,Yes
INC000202,E000202,A049,Level 1,12,37,Credential Leak,Yes
INC000203,E000203,A047,Level 1,13,63,Credential Leak,Yes
INC000204,E000204,A039,Level 2,8,35,Malware Payload,Yes
INC000205,E000205,A006,Level 2,12,45,Configuration Weakness,Yes
INC000206,E000206,A001,Level 1,6,29,Credential Leak,Yes
INC000207,E000207,A032,Level 2,8,50,Zero Day Exploit,Yes
INC000208,E000208,A017,Level 1,3,17,User Error,No
INC000209,E000209,A037,Level 3,3,18,Credential Leak,No
INC000210,E000210,A014,Level 2,10,28,Configuration Weakness,No
INC000211,E000211,A023,Level 2,7,25,Zero Day Exploit,Yes
INC000212,E000212,A002,Level 2,9,17,Zero Day Exploit,Yes
INC000213,E000213,A036,Level 3,8,29,Malware Payload,Yes
INC000214,E000214,A005,Level 3,6,26,Credential Leak,Yes
INC000215,E000215,A002,Level 3,6,47,Malware Payload,No
INC000216,E000216,A004,Level 2,10,55,Malware Payload,Yes
INC000217,E000217,A015,Level 2,4,52,Credential Leak,Yes
INC000218,E000218,A007,Level 1,13,30,Malware Payload,No
INC000219,E000219,A013,Level 2,9,18,Configuration Weakness,No
INC000220,E000220,A034,Level 2,12,52,Configuration Weakness,Yes
INC000221,E000221,A044,Level 3,5,36,Credential Leak,No
INC000222,E000222,A039,Level 3,8,49,Configuration Weakness,Yes
INC000223,E000223,A027,Level 3,12,38,Configuration Weakness,Yes
INC000224,E000224,A039,Level 1,11,16,Credential Leak,Yes
INC000225,E000225,A012,Level 1,4,32,Malware Payload,No
INC000226,E000226,A006,Level 1,8,29,Configuration Weakness,No
INC000227,E000227,A023,Level 1,13,44,Zero Day Exploit,No
INC000228,E000228,A037,Level 2,2,11,Configuration Weakness,Yes
INC000229,E000229,A016,Level 1,1,21,Configuration Weakness,No
INC000230,E000230,A040,Level 3,2,20,Malware Payload,No
INC000231,E000231,A023,Level 1,1,48,Credential Leak,No
INC000232,E000232,A029,Level 3,9,50,Configuration Weakness,Yes
INC000233,E000233,A011,Level 1,2,12,Configuration Weakness,Yes
INC000234,E000234,A028,Level 1,4,37,Malware Payload,No
INC000235,E000235,A005,Level 2,3,33,User Error,Yes
INC000236,E000236,A011,Level 3,1,58,User Error,Yes
INC000237,E000237,A015,Level 1,11,41,Configuration Weakness,No
INC000238,E000238,A033,Level 3,7,12,Malware Payload,No
INC000239,E000239,A032,Level 3,5,18,User Error,No
INC000240,E000240,A021,Level 2,1,47,Malware Payload,No
INC000241,E000241,A001,Level 3,3,32,User Error,Yes
INC000242,E000242,A020,Level 2,2,53,Configuration Weakness,No
INC000243,E000243,A040,Level 2,10,46,Zero Day Exploit,Yes
INC000244,E000244,A026,Level 2,10,61,Malware Payload,No
INC000245,E000245,A044,Level 2,8,27,Zero Day Exploit,No
INC000246,E000246,A012,Level 3,3,53,Credential Leak,No
INC000247,E000247,A007,Level 3,13,53,Configuration Weakness,No
INC000248,E000248,A050,Level 3,7,50,Zero Day Exploit,Yes
INC000249,E000249,A020,Level 1,10,21,Malware Payload,No
INC000250,E000250,A049,Level 3,3,52,User Error,Yes
INC000251,E000251,A044,Level 3,5,62,User Error,No
INC000252,E000252,A010,Level 1,7,38,Credential Leak,No
INC000253,E000253,A017,Level 3,9,40,Zero Day Exploit,No
INC000254,E000254,A039,Level 1,8,35,Malware Payload,No
INC000255,E000255,A007,Level 2,10,17,Credential Leak,No
INC000256,E000256,A017,Level 1,1,36,Credential Leak,No
INC000257,E000257,A037,Level 3,6,40,User Error,No
INC000258,E000258,A029,Level 2,5,45,Malware Payload,Yes
INC000259,E000259,A049,Level 1,12,41,Configuration Weakness,No
INC000260,E000260,A042,Level 2,1,54,Credential Leak,Yes
INC000261,E000261,A028,Level 2,3,9,Configuration Weakness,No
INC000262,E000262,A040,Level 1,6,16,Malware Payload,No
INC000263,E000263,A035,Level 3,5,16,User Error,Yes
INC000264,E000264,A030,Level 2,1,18,Configuration Weakness,Yes
INC000265,E000265,A011,Level 2,5,37,Malware Payload,Yes
INC000266,E000266,A008,Level 2,2,11,User Error,No
INC000267,E000267,A044,Level 3,6,27,Malware Payload,Yes
INC000268,E000268,A017,Level 1,5,29,Credential Leak,Yes
INC000269,E000269,A018,Level 2,6,58,Configuration Weakness,No
INC000270,E000270,A003,Level 2,14,38,Malware Payload,Yes
INC000271,E000271,A025,Level 2,12,57,Configuration Weakness,No
INC000272,E000272,A024,Level 2,9,49,Malware Payload,Yes
INC000273,E000273,A028,Level 3,6,32,Malware Payload,Yes
INC000274,E000274,A049,Level 1,8,22,Zero Day Exploit,Yes
INC000275,E000275,A031,Level 1,5,36,User Error,No
INC000276,E000276,A008,Level 1,2,48,User Error,No
INC000277,E000277,A031,Level 1,4,9,Configuration Weakness,Yes
INC000278,E000278,A016,Level 1,4,57,Configuration Weakness,No
INC000279,E000279,A030,Level 3,3,52,Malware Payload,No
INC000280,E000280,A038,Level 1,13,62,User Error,Yes
INC000281,E000281,A010,Level 3,6,47,User Error,Yes
INC000282,E000282,A022,Level 2,1,60,Credential Leak,Yes
INC000283,E000283,A001,Level 3,7,62,Malware Payload,Yes
INC000284,E000284,A022,Level 2,10,61,Malware Payload,Yes
INC000285,E000285,A027,Level 3,12,26,Malware Payload,Yes
INC000286,E000286,A045,Level 1,6,33,Configuration Weakness,Yes
INC000287,E000287,A018,Level 1,5,49,Zero Day Exploit,No
INC000288,E000288,A022,Level 3,5,54,Zero Day Exploit,Yes
INC000289,E000289,A038,Level 3,5,58,User Error,No
INC000290,E000290,A047,Level 3,11,54,User Error,No
INC000291,E000291,A047,Level 2,11,33,Configuration Weakness,No
INC000292,E000292,A003,Level 2,14,30,Configuration Weakness,Yes
INC000293,E000293,A032,Level 2,6,25,Credential Leak,Yes
INC000294,E000294,A018,Level 1,2,7,Zero Day Exploit,No
INC000295,E000295,A003,Level 1,5,53,User Error,Yes
INC000296,E000296,A047,Level 3,13,65,Credential Leak,No
INC000297,E000297,A019,Level 1,1,22,Credential Leak,No
INC000298,E000298,A006,Level 3,4,18,Credential Leak,Yes
INC000299,E000299,A033,Level 3,2,23,Credential Leak,No
INC000300,E000300,A012,Level 1,4,50,User Error,No
INC000301,E000301,A046,Level 2,7,38,User Error,Yes
INC000302,E000302,A048,Level 2,10,42,User Error,No
INC000303,E000303,A033,Level 2,12,44,Credential Leak,Yes
INC000304,E000304,A034,Level 1,10,66,User Error,No
INC000305,E000305,A020,Level 1,3,18,User Error,Yes
INC000306,E000306,A032,Level 3,3,18,User Error,Yes
INC000307,E000307,A041,Level 1,9,52,User Error,Yes
INC000308,E000308,A047,Level 3,7,66,Malware Payload,No
INC000309,E000309,A012,Level 2,12,21,Zero Day Exploit,No
INC000310,E000310,A044,Level 3,10,56,Zero Day Exploit,Yes
INC000311,E000311,A041,Level 1,1,8,Zero Day Exploit,Yes
INC000312,E000312,A046,Level 1,14,20,Malware Payload,Yes
INC000313,E000313,A008,Level 2,10,34,Malware Payload,Yes
INC000314,E000314,A001,Level 2,2,27,Configuration Weakness,Yes
INC000315,E000315,A009,Level 3,4,16,Configuration Weakness,No
INC000316,E000316,A046,Level 2,14,45,Malware Payload,No
INC000317,E000317,A050,Level 2,10,50,Credential Leak,No
INC000318,E000318,A031,Level 1,11,30,User Error,No
INC000319,E000319,A008,Level 3,7,13,Credential Leak,No
INC000320,E000320,A025,Level 1,12,32,User Error,No
INC000321,E000321,A027,Level 3,10,32,Malware Payload,Yes
INC000322,E000322,A037,Level 1,14,28,Configuration Weakness,No
INC000323,E000323,A044,Level 3,6,13,User Error,No
INC000324,E000324,A029,Level 3,8,39,Credential Leak,No
INC000325,E000325,A043,Level 2,8,57,Credential Leak,No
INC000326,E000326,A031,Level 3,8,18,Credential Leak,No
INC000327,E000327,A026,Level 2,1,43,Credential Leak,No
INC000328,E000328,A003,Level 3,14,48,User Error,Yes
INC000329,E000329,A001,Level 3,8,55,User Error,Yes
INC000330,E000330,A038,Level 2,7,35,User Error,No
INC000331,E000331,A021,Level 1,2,45,Configuration Weakness,No
INC000332,E000332,A024,Level 1,4,59,User Error,No
INC000333,E000333,A034,Level 1,7,19,Malware Payload,No
INC000334,E000334,A010,Level 2,5,37,User Error,No
INC000335,E000335,A048,Level 2,2,23,Zero Day Exploit,Yes
INC000336,E000336,A001,Level 2,14,56,Configuration Weakness,No
INC000337,E000337,A045,Level 1,5,39,Credential Leak,Yes
INC000338,E000338,A039,Level 3,9,26,Credential Leak,Yes
INC000339,E000339,A042,Level 3,3,21,Credential Leak,No
INC000340,E000340,A003,Level 1,1,9,Credential Leak,No
INC000341,E000341,A009,Level 2,5,11,Credential Leak,No
INC000342,E000342,A013,Level 3,13,40,Configuration Weakness,Yes
INC000343,E000343,A011,Level 1,3,45,User Error,Yes
INC000344,E000344,A004,Level 1,3,47,Configuration Weakness,Yes
INC000345,E000345,A037,Level 1,1,45,Zero Day Exploit,Yes
INC000346,E000346,A006,Level 1,6,12,Configuration Weakness,No
INC000347,E000347,A043,Level 1,8,47,Credential Leak,No
INC000348,E000348,A017,Level 3,5,46,Malware Payload,No
INC000349,E000349,A022,Level 3,12,62,Credential Leak,No
INC000350,E000350,A024,Level 1,5,33,User Error,No
INC000351,E000351,A010,Level 3,10,67,Credential Leak,Yes
INC000352,E000352,A022,Level 1,3,9,User Error,Yes
INC000353,E000353,A027,Level 3,3,48,Credential Leak,No
INC000354,E000354,A023,Level 2,1,19,Malware Payload,Yes
INC000355,E000355,A021,Level 1,12,43,Credential Leak,Yes
INC000356,E000356,A042,Level 3,13,36,Credential Leak,Yes
INC000357,E000357,A043,Level 1,13,43,User Error,No
INC000358,E000358,A026,Level 2,2,53,Malware Payload,No
INC000359,E000359,A016,Level 3,7,31,Zero Day Exploit,No
INC000360,E000360,A046,Level 3,7,24,Malware Payload,No
INC000361,E000361,A043,Level 2,9,27,Configuration Weakness,No
INC000362,E000362,A042,Level 3,10,40,Zero Day Exploit,No
INC000363,E000363,A044,Level 2,3,8,Configuration Weakness,Yes
INC000364,E000364,A039,Level 3,14,21,Malware Payload,Yes
INC000365,E000365,A050,Level 3,5,35,Credential Leak,Yes
INC000366,E000366,A017,Level 2,8,16,Malware Payload,No
INC000367,E000367,A041,Level 2,11,16,Credential Leak,Yes
INC000368,E000368,A038,Level 1,5,61,Credential Leak,No
INC000369,E000369,A009,Level 2,13,31,Malware Payload,No
INC000370,E000370,A008,Level 2,14,30,Malware Payload,No
INC000371,E000371,A013,Level 2,10,38,Credential Leak,Yes
INC000372,E000372,A006,Level 1,2,28,Zero Day Exploit,No
INC000373,E000373,A005,Level 3,13,67,Configuration Weakness,No
INC000374,E000374,A047,Level 3,3,43,Zero Day Exploit,Yes
INC000375,E000375,A013,Level 3,9,24,Credential Leak,Yes
INC000376,E000376,A007,Level 1,10,64,Configuration Weakness,No
INC000377,E000377,A041,Level 1,5,33,Malware Payload,Yes
INC000378,E000378,A041,Level 2,6,26,User Error,No
INC000379,E000379,A011,Level 2,12,27,User Error,No
INC000380,E000380,A045,Level 1,12,53,Zero Day Exploit,Yes
INC000381,E000381,A007,Level 2,7,54,User Error,No
INC000382,E000382,A027,Level 1,14,26,Zero Day Exploit,Yes
INC000383,E000383,A044,Level 2,12,60,Configuration Weakness,Yes
INC000384,E000384,A019,Level 1,5,25,Zero Day Exploit,No
INC000385,E000385,A009,Level 2,6,24,Zero Day Exploit,Yes
INC000386,E000386,A018,Level 1,13,58,Zero Day Exploit,Yes
INC000387,E000387,A042,Level 2,5,59,User Error,No
INC000388,E000388,A039,Level 3,3,51,User Error,Yes
INC000389,E000389,A044,Level 2,10,15,Zero Day Exploit,Yes
INC000390,E000390,A010,Level 2,9,66,Malware Payload,No
INC000391,E000391,A013,Level 2,7,20,Configuration Weakness,No
INC000392,E000392,A018,Level 2,2,17,Configuration Weakness,Yes
INC000393,E000393,A048,Level 1,7,43,Zero Day Exploit,Yes
INC000394,E000394,A038,Level 3,3,15,Malware Payload,No
INC000395,E000395,A002,Level 1,9,66,User Error,No
INC000396,E000396,A001,Level 2,3,14,Zero Day Exploit,Yes
INC000397,E000397,A002,Level 3,12,52,Configuration Weakness,No
INC000398,E000398,A031,Level 1,9,33,Malware Payload,Yes
INC000399,E000399,A016,Level 3,12,66,User Error,Yes
INC000400,E000400,A009,Level 2,8,44,Credential Leak,Yes
INC000401,E000401,A032,Level 2,9,22,User Error,No
INC000402,E000402,A017,Level 2,6,11,Credential Leak,Yes
INC000403,E000403,A029,Level 1,5,44,Credential Leak,No
INC000404,E000404,A031,Level 1,8,16,User Error,No
INC000405,E000405,A020,Level 3,9,17,Configuration Weakness,No
INC000406,E000406,A030,Level 1,3,62,Zero Day Exploit,No
INC000407,E000407,A027,Level 2,13,21,Configuration Weakness,No
INC000408,E000408,A044,Level 1,4,22,Malware Payload,Yes
INC000409,E000409,A050,Level 3,11,57,Zero Day Exploit,No
INC000410,E000410,A012,Level 2,9,16,Configuration Weakness,Yes
INC000411,E000411,A005,Level 2,10,50,Configuration Weakness,Yes
INC000412,E000412,A014,Level 2,5,63,Zero Day Exploit,Yes
INC000413,E000413,A037,Level 1,3,36,Credential Leak,Yes
INC000414,E000414,A031,Level 3,12,32,Malware Payload,No
INC000415,E000415,A033,Level 1,2,21,User Error,No
INC000416,E000416,A031,Level 1,4,54,Zero Day Exploit,Yes
INC000417,E000417,A009,Level 3,7,52,Malware Payload,Yes
INC000418,E000418,A015,Level 2,3,22,Configuration Weakness,Yes
INC000419,E000419,A010,Level 2,10,67,User Error,Yes
INC000420,E000420,A037,Level 3,12,17,User Error,No
INC000421,E000421,A030,Level 3,9,68,Configuration Weakness,No
INC000422,E000422,A012,Level 1,7,20,Configuration Weakness,No
INC000423,E000423,A044,Level 1,5,21,Zero Day Exploit,Yes
INC000424,E000424,A046,Level 2,6,31,User Error,Yes
INC000425,E000425,A003,Level 1,13,72,User Error,No
INC000426,E000426,A013,Level 2,5,42,User Error,Yes
INC000427,E000427,A026,Level 2,4,34,User Error,No
INC000428,E000428,A014,Level 1,9,50,Malware Payload,No
INC000429,E000429,A038,Level 1,7,24,User Error,Yes
INC000430,E000430,A011,Level 3,10,32,Configuration Weakness,Yes
INC000431,E000431,A030,Level 3,12,29,Zero Day Exploit,Yes
INC000432,E000432,A029,Level 2,10,25,Malware Payload,Yes
INC000433,E000433,A021,Level 1,2,36,Credential Leak,Yes
INC000434,E000434,A041,Level 3,2,44,Credential Leak,No
INC000435,E000435,A043,Level 2,3,23,Configuration Weakness,Yes
INC000436,E000436,A039,Level 1,4,47,Zero Day Exploit,No
INC000437,E000437,A014,Level 1,7,59,Configuration Weakness,Yes
INC000438,E000438,A038,Level 1,14,36,Configuration Weakness,No
INC000439,E000439,A014,Level 3,2,22,Zero Day Exploit,No
INC000440,E000440,A033,Level 3,10,43,Credential Leak,No
INC000441,E000441,A029,Level 2,12,57,User Error,No
INC000442,E000442,A024,Level 3,4,17,Credential Leak,Yes
INC000443,E000443,A031,Level 1,3,19,Malware Payload,No
INC000444,E000444,A030,Level 3,9,45,Configuration Weakness,Yes
